,t1,w1,t2
0,22.40000378,22.17901881,21.31018642
1,22.38644212,22.176248,21.23909335
2,22.35709562,22.1728274,21.24839485
3,22.34024178,22.1688447,21.23370347
4,22.31655385,22.16533371,21.17935068
5,22.27192124,22.16120299,21.19113289
6,22.23291988,22.15625803,21.17929653
7,22.19807555,22.15135012,21.19522578
8,22.16533128,22.1470978,21.28788733
9,22.13412367,22.13033047,21.04452542
10,22.11730677,22.12132457,20.99450157
11,22.08272277,22.1210567,21.0262436
12,22.05879972,22.11911115,21.03181456
13,22.04672111,22.1167543,21.03298758
14,22.04488039,22.11417042,21.03278848
15,22.04197615,22.11141108,21.02589549
16,22.04002437,22.10868174,21.02358573
17,22.03826244,22.10605272,21.0207701
18,22.03553588,22.1038057,21.01672413
19,22.03408412,22.10124734,21.01360165
20,22.03333769,22.09875184,21.01034655
21,22.03296427,22.09633147,21.00713224
22,22.03280153,22.09388602,21.00399782
23,22.03276237,22.09147302,21.00094381
24,22.03286923,22.08908652,20.99847935
25,22.0331222,22.08679779,20.99667806
26,22.03344919,22.08457567,21.02060086
27,22.03368678,22.08144656,20.98975168
28,22.03418787,22.07974283,20.99048298
29,22.03469316,22.07784216,20.99037929
30,22.03521099,22.07588611,20.99003354
31,22.03574274,22.07393363,20.98960662
32,22.03628939,22.071996,20.98918247
33,22.03685142,22.07007984,20.98879374
34,22.03741314,22.06818797,21.00319292
35,22.03775869,22.06631531,20.98181099
36,22.03807339,22.06436863,20.98441806
37,22.0378099,22.06230377,20.98227456
38,22.03726389,22.06013464,20.9790429
39,22.03655283,22.05793237,21.01039143
40,22.03608705,22.0558029,20.95284753
41,22.03513944,22.05351781,20.96106637
42,22.03424923,22.05125531,20.95981928
43,22.03339032,22.04896315,20.95688438
44,22.03254394,22.04667545,20.95317338
45,22.03170274,22.04438666,20.94915645
46,22.03086386,22.04209529,20.9449875
47,22.0300122,22.03980054,20.94072174
48,22.0298447,22.03768437,20.93867068
49,22.02986571,22.03549989,20.95244534
50,22.02987587,22.03361282,20.91333246
51,22.03000484,22.03150381,20.92349484
52,22.03017612,22.02942659,21.0369924
53,22.03041387,22.016307,20.87682387
54,22.0308814,22.02020515,20.89676335
55,22.03133476,22.01983052,20.90495261
56,22.03176731,22.01887472,20.90804714
57,22.03202407,22.01729489,20.90854318
58,22.03227902,22.01578221,20.9143725
59,22.03264103,22.01404969,20.90310646
60,22.03296642,22.01233271,20.90565844
61,22.03275073,22.01058748,20.90492783
62,22.03226496,22.00875758,20.90345328
63,22.03164242,22.00689899,20.9016206
64,22.03094943,22.00502332,20.89963026
65,22.03021976,22.00313754,20.89754987
66,22.02947052,22.00124553,20.89540767
67,22.02871059,21.99934977,20.89321926
68,22.02794464,21.99745297,20.89100075
69,22.02717521,21.99555729,20.88877035
70,22.02639146,21.99366347,20.89982035
71,22.02593325,21.9918207,20.87948488
72,22.0315029,21.99420131,20.89583031
73,22.03472067,21.99532284,20.90574501
74,22.03965093,21.9955049,20.92050954
75,22.04174833,21.99570178,20.92703673
76,22.04236119,21.99521845,20.92951478
77,22.04224463,21.99441519,20.92994005
78,22.041757,21.9933991,20.92919161
79,22.04107547,21.99201399,20.92694491
80,22.04031286,21.99064831,20.95808473
81,22.03950701,21.98931851,20.88726492
82,22.03897646,21.98788402,20.89348888
83,22.03837586,21.98638649,20.90026776
84,22.03813731,21.98499034,21.012988
85,22.03800034,21.97588194,20.84513131
86,22.03811018,21.97375166,20.86164962
87,22.03842721,21.97537574,20.88266113
88,22.03893735,21.9757724,20.89326209
89,22.03954673,21.98082921,20.90842273
90,22.04020813,21.98722545,20.93331493
91,22.04090286,21.99633178,20.9655555
92,22.04162356,22.00516402,21.00178563
93,22.04236956,22.01506889,21.03966966
94,22.04315388,22.02587056,21.16883597
95,22.04399322,22.03101911,21.21631315
96,22.04482364,22.03284971,21.08102568
97,22.04666109,22.05362664,21.16076956
98,22.04870989,22.07095826,21.22238934
99,22.05089393,22.08862371,21.27552591
100,22.05318264,22.10831203,21.32532689
101,22.0555633,22.12889515,21.37426382
102,22.05803259,22.14758742,21.42026288
103,22.06059179,22.16631959,21.46253956
104,22.06324388,22.18512694,21.50292856
105,22.06599184,22.20415311,21.54228855
106,22.0688466,22.22329567,21.58952276
107,22.07185342,22.24104288,21.57867051
108,22.07571629,22.261633,21.62692972
109,22.08057938,22.28136367,21.62586546
110,22.08391754,22.30109865,21.66136577
111,22.09084961,22.32102478,21.73150161
112,22.0975932,22.34117198,21.77484413
113,22.10429199,22.36103202,21.8106238
114,22.11104235,22.37449055,21.84062105
115,22.11788921,22.38730087,21.86547103
116,22.1248613,22.39953218,21.88729099
117,22.13206659,22.41037999,21.8884303
118,22.13620298,22.40445502,21.83439938
119,22.14101136,22.42372994,21.85975091
120,22.14576303,22.43381822,21.87883897
121,22.15153864,22.44419695,21.90151603
122,22.15656042,22.45712069,21.93082817
123,22.1626229,22.46668244,21.9602744
124,22.16874121,22.47858356,21.98711139
125,22.17998907,22.48923213,22.03099911
126,22.18371772,22.49583279,21.96170237
127,22.18971955,22.46303808,21.92101399
128,22.1952531,22.48865726,21.99264955
129,22.20066539,22.48505127,21.97518356
130,22.20975736,22.48089137,21.94284632
131,22.21563837,22.48442723,21.96953105
132,22.22699415,22.49737998,22.05009502
133,22.2311656,22.50428179,22.07749993
134,22.24209002,22.48924111,21.92652519
135,22.24699361,22.50176967,21.9825388
136,22.25150594,22.50437872,22.06957284
137,22.25800569,22.49776725,22.02963717
138,22.26369711,22.50119168,22.06319177
139,22.27060127,22.49196351,22.02960689
