,Unnamed: 0,tout,s,i,t1,t2,t3,t4,t5,t6,m,tret
7000,7000,-1.99166666667,42.1666666667,0.0,23.4203722207,23.400961663,23.3993404627,23.4011346634,23.4002628864,23.399958946,42.5635245628,23.4545319333
7001,7001,-1.95,46.0,0.0,23.3980972103,23.4000309833,23.3997581136,23.4005278501,23.3983758797,23.3999598,42.4700338239,23.4203722207
7002,7002,-1.90833333333,59.1666666667,0.0,23.3816019934,23.3997035382,23.3981276741,23.3996437684,23.3994236309,23.3999609636,42.3982233861,23.3980972103
7003,7003,-1.86666666667,72.3333333333,0.0,23.367267931,23.3998411491,23.3980114259,23.3998878691,23.3994047286,23.3999624533,42.3284299001,23.3816019934
7004,7004,-1.825,85.5,0.0,23.353781535,23.3993237379,23.3987171682,23.399299303,23.3994190942,23.3999641277,42.2774388773,23.367267931
7005,7005,-1.78333333333,98.6666666667,0.0,23.3408567403,23.3996718341,23.3990757499,23.4008748905,23.400642443,23.3999659217,42.2280283265,23.353781535
7006,7006,-1.74166666667,111.833333333,0.0,23.3284769585,23.400619759,23.3997578151,23.3988268289,23.4000905727,23.3999677833,42.1860073443,23.3408567403
7007,7007,-1.7,125.0,0.0,23.3165997764,23.3998994961,23.399177373,23.4011027344,23.3993652649,23.399969685,42.1559194833,23.3284769585
7008,7008,-1.60833333333,138.166666667,0.0,23.3093189564,23.5037025349,23.4994385644,23.5059444594,23.5005893832,23.5042912346,51.6281207541,23.3165997764
7009,7009,-1.51666666667,151.333333333,0.0,23.3229031577,23.5098554635,23.5100464116,23.5101303164,23.509001561,23.509535118,63.5030943476,23.3093189564
7010,7010,-1.425,164.5,0.0,23.3398339301,23.5103944136,23.5102442778,23.5099327525,23.5105372199,23.5098811943,58.0318309484,23.3229031577
7011,7011,-1.33333333333,177.666666667,0.0,23.3515619938,23.5097107935,23.5096485217,23.5103724012,23.5086517975,23.5098777235,59.7478242684,23.3398339301
7012,7012,-1.24166666667,190.833333333,0.0,23.3574580253,23.5099178807,23.5100435809,23.5109118107,23.5106915895,23.5098603724,60.0097035262,23.3515619938
7013,7013,-1.15,204.0,0.0,23.3601026959,23.5106804823,23.5094334259,23.5105053978,23.5087945703,23.5098472597,60.274355512,23.3574580253
7014,7014,-1.05833333333,219.166666667,0.0,23.3616131993,23.5101443994,23.5089593589,23.509819387,23.5104802179,23.5098374995,60.5186830218,23.3601026959
7015,7015,-0.966666666667,234.333333333,0.0,23.3629682487,23.510166119,23.510605121,23.5108982918,23.5124133293,23.50982951,60.7294730682,23.3616131993
7016,7016,-0.875,249.5,0.0,23.3644454689,23.5093181748,23.5097175267,23.5101238631,23.5118896979,23.5098222614,60.924959103,23.3629682487
7017,7017,-0.783333333333,264.666666667,0.0,23.36595839,23.5110984192,23.5085159672,23.5097003191,23.5086593836,23.5098153217,61.1106874986,23.3644454689
7018,7018,-0.691666666667,279.833333333,0.0,23.3674380365,23.5110046753,23.5085116985,23.5108297192,23.5116573502,23.5098086371,61.2710818244,23.36595839
7019,7019,-0.6,295.0,0.0,23.3689770639,23.5106086077,23.5094238609,23.5111062056,23.5106715495,23.5098021638,61.4308879739,23.3674380365
7020,7020,-0.55,310.166666667,0.0,23.3644659562,23.6429123805,23.6400512466,23.6451392007,23.6365459705,23.6430801664,49.8185568907,23.3689770639
7021,7021,-0.5,325.333333333,0.0,23.3805752602,23.6491364829,23.650899949,23.6509417585,23.6490931546,23.6493338473,64.0625735259,23.3644659562
7022,7022,-0.45,340.5,0.0,23.3974151421,23.6502132978,23.6514696528,23.6508073957,23.6523456941,23.6497558859,56.9485499684,23.3805752602
7023,7023,-0.4,355.666666667,0.0,23.406819255,23.6494447138,23.6493722185,23.6515227103,23.6520835876,23.6497819765,58.80562597,23.3974151421
7024,7024,-0.35,370.833333333,0.0,23.4086504768,23.6499727825,23.6497653797,23.6508749411,23.6492425171,23.649773988,58.9046807397,23.406819255
7025,7025,-0.3,386.0,0.0,23.4062146453,23.6498605132,23.6508102791,23.6513371165,23.6500951169,23.649768476,59.4077391676,23.4086504768
7026,7026,-0.25,389.5,0.0,23.4021755009,23.6498444024,23.6515538036,23.6506935653,23.6522628001,23.649762687,59.7955333977,23.4062146453
7027,7027,-0.2,393.0,0.0,23.397728974,23.6498353919,23.6516257267,23.649887033,23.6493859426,23.6497573435,60.1509620337,23.4021755009
7028,7028,-0.15,396.5,0.0,23.3931210679,23.6498281079,23.6497153749,23.6496648056,23.6488978031,23.6497522374,60.4970706763,23.397728974
7029,7029,-0.1,400.0,0.0,23.3883734572,23.649821953,23.6509966098,23.6499957266,23.6503642631,23.6497472976,60.8157027436,23.3931210679
7030,7030,-0.05,403.5,0.0,23.3835824671,23.6498167957,23.6503904196,23.6505249171,23.6520822873,23.6497424737,61.1289728711,23.3883734572
7031,7031,0.0,407.0,0.0,23.3788037478,23.6498124648,23.650672651,23.6509451925,23.6492227009,23.6497377494,61.4330592865,23.3835824671
7032,7032,0.0916666666667,410.5,0.0,23.3822525371,23.3411380974,23.3387216277,23.334245905,23.3398410316,23.3420709056,72.1462141689,23.3856079558
7033,7033,0.183333333333,414.0,0.0,23.3386875876,23.3299307347,23.3288828258,23.3301416846,23.3301251759,23.3298522503,59.3936980363,23.3720929105
7034,7034,0.275,417.5,0.0,23.2873160089,23.3298473409,23.3302229334,23.3310283174,23.330309243,23.3297504025,76.4431333324,23.3386875876
7035,7035,0.366666666667,421.0,0.0,23.2540943914,23.3297783852,23.330465688,23.3311125739,23.3312716439,23.3297004579,71.3292917798,23.2873160089
7036,7036,0.458333333333,424.5,0.0,23.2400443232,23.3297931335,23.3307773013,23.3303362433,23.3287371812,23.3297121277,71.7459089521,23.2540943914
7037,7037,0.55,428.0,0.0,23.2365076891,23.3297981499,23.3316620454,23.3302281352,23.3312897139,23.3297131797,71.8800211653,23.2400443232
7038,7038,0.641666666667,408.5,0.0,23.2365652597,23.3298078372,23.3306164456,23.3310469443,23.3303404879,23.3297124587,71.6718176487,23.2365076891
7039,7039,0.733333333333,389.0,0.0,23.2372707563,23.3298174109,23.330879556,23.33070464,23.3305792518,23.3297113514,71.4099211195,23.2365652597
7040,7040,0.825,369.5,0.0,23.2380374789,23.3298295754,23.3307393574,23.3300457145,23.3289823383,23.3297089409,70.8147872757,23.2372707563
7041,7041,0.916666666667,350.0,0.0,23.2389984036,23.3298371901,23.3311393517,23.3305725865,23.3296087914,23.329707944,70.4374216161,23.2380374789
7042,7042,1.00833333333,330.5,0.0,23.2402981583,23.3298419934,23.3299449636,23.3299171203,23.3292757454,23.3297065145,70.0822708523,23.2389984036
7043,7043,1.1,311.0,0.0,23.241860433,23.3298458733,23.3307191723,23.3308678782,23.3305534398,23.3297050543,69.6983307178,23.2402981583
7044,7044,1.1,291.5,0.0,23.2674639084,23.7627038011,23.76018794,23.7639917051,23.7585249345,23.7790787899,65.6884231257,23.2404067968
7045,7045,1.1,272.0,0.0,23.3501305166,23.769721382,23.7703444862,23.7706281895,23.7719499683,23.7714756975,73.9412125285,23.2959746562
7046,7046,1.1,252.5,0.0,23.4120789868,23.7703411393,23.7723645941,23.7714679183,23.7723531122,23.7697855903,51.0009231044,23.3501305166
7047,7047,1.1,233.0,0.0,23.4483713083,23.770627518,23.7696525074,23.7712336755,23.7688312708,23.7697580114,57.6696384182,23.4120789868
7048,7048,1.1,213.5,0.0,23.4687302558,23.7705415101,23.7685921483,23.7705321505,23.7696357185,23.7697244147,57.4492136049,23.4483713083
